code,code_name,ipoDate,industry,website,total_share,market_cap,price,pe,pb,roe,eps,bps,cash,short_term_borrowing,interest_bearing_debt,gross_profit_margin,net_profit,operating_expense,research_and_development,operating_cash_flow,investment_cash_flow,financing_cash_flow,value_lt_15
sh.600189,泉阳泉,1998-10-07,C15酒、饮料和精制茶制造业,https://www.jlsg.com.cn,"715,197,812","5,456,959,488",7.63,763.0,4.415509,2.88%,0.01,1.728,"862,386,637.8","345,057,697.79","1,483,720,064",32%,"34,937,538.77","314,814,841.46","14,478,953.66","186,357,056.06","269,277,740.36","-101,887,582.25",0
sh.600191,华资实业,1998-12-10,C13农副食品加工业,https://www.huazi.com,"484,932,000","5,916,170,240",12.2,152.5,3.4947007,2.36%,0.08,3.491,"41,559,913.25","41,317,771.84","364,533,088",8%,"25,445,146.15","50,090,411.41",,"139,479,173.95","-49,669,984.55","-95,380,771.8",0
sh.600192,长城电工,1998-12-24,C38电气机械和器材制造业,https://chinagwe.geec.group,"441,748,000","3,909,469,952",8.85,,3.8545299,-23.00%,-0.6,2.296,"449,005,960.53","1,141,504,525.74","1,639,466,496",12%,"-228,781,607.27","348,903,576.33","83,976,442.68","63,079,218.29","-65,308,122.5","114,309,501.25",
sh.600193,*ST创兴,1999-05-27,E50建筑装饰、装修和其他建筑业,,"425,373,000","1,790,820,352",4.21,,20.14354,-102.74%,-0.46,0.209,"4,208,773.73","32,288,976.9","49,729,400",69%,"-193,081,752.25","33,548,570.2","3,926,876.29","-6,782,924.04","-9,588,108.63","15,177,388.26",
sh.600195,中牧股份,1999-01-07,C27医药制造业,https://www.cahic.com,"1,021,148,260","7,525,862,912",7.37,35.095238,1.3163065,3.23%,0.21,5.599,"1,091,491,068.11","342,061,938.75","1,297,651,584",16%,"61,428,393.79","930,679,695.73","143,898,523.68","419,565,593.23","-423,869,384.49","-496,179,946.71",0
sh.600197,伊力特,1999-09-16,C15酒、饮料和精制茶制造业,https://www.xjyilite.com,"473,174,717","5,644,974,592",11.93,27.113638,1.478498,4.57%,0.44,8.069,"365,908,554.08",,"547,313,216",52%,"287,530,269.45","717,279,313.16","13,328,872.38","87,473,041.52","-137,114,542.08","-164,395,714.95",0
sh.600198,大唐电信,1998-10-21,C39计算机、通信和其他电子设备制造业,https://www.datang.com,"1,303,603,541","10,637,405,184",8.16,163.2,38.857143,17.74%,0.05,0.21,"437,987,707.85","270,592,770.32","990,079,488",45%,"51,517,449.04","416,040,919.6","224,590,402.49","-152,354,792.51","-530,446,454.38","638,218,466.83",0
sh.600199,金种子酒,1998-08-12,C15酒、饮料和精制茶制造业,https://www.jzz.cn,"657,796,824","5,314,998,272",8.08,,2.5691574,-11.48%,-0.39,3.145,"366,708,891.01","198,262,341.42","374,588,928",35%,"-257,094,672.02","579,718,224.13","24,062,868.31","-303,953,707.74","-28,292,146.22","213,463,875.25",
sh.600201,生物股份,1999-01-15,C27医药制造业,https://www.jinyu.com.cn,"1,111,747,826","15,653,409,792",14.08,140.8,2.8131866,1.66%,0.1,5.005,"1,139,534,619.01","15,007,666.67","16,425,650",54%,"104,154,092.64","532,551,562.59","136,817,966.01","289,552,214.1","-453,146,178.42","-75,243,102.82",0
sh.600202,哈空调,1999-06-03,C34通用设备制造业,https://www.hac.com.cn,"383,340,672","2,292,377,344",5.98,,2.8395061,-3.78%,-0.05,2.106,"286,586,449.61","334,335,594.89","814,173,696",13%,"-2,241,758.95","127,883,049.89","41,173,037.62","-31,500,058.82","-21,770,074.57","52,993,744.48",
sh.600203,福日电子,1999-05-14,C39计算机、通信和其他电子设备制造业,https://www.furielec.com,"592,988,082","6,445,780,480",10.87,,3.7175102,-8.68%,-0.27,2.924,"1,394,885,565.43","2,127,140,548.87","3,395,620,864",5%,"-396,752,540.42","679,088,593.44","269,225,149.94","-366,500,148.67","61,962,582.69","34,980,467.89",
sh.600206,有研新材,1999-03-19,C32有色金属冶炼和压延加工业,https://www.griam.cn,"846,553,332","17,599,844,352",20.79,63.0,4.155507,3.36%,0.33,5.003,"1,809,546,949.92","711,438,441.1","1,107,794,048",6%,"-32,603,615.28","366,841,524.0","207,142,804.71","-54,524,403.42","-158,364,158.41","485,807,244.47",
sh.600207,安彩高科,1999-07-14,C30非金属矿物制品业,https://www.acht.com.cn,"1,089,312,554","7,124,103,680",6.54,,2.9794989,-25.00%,-0.58,2.195,"498,148,427.78","254,684,811.92","2,777,012,224",3%,"-408,872,288.81","304,949,638.47","122,582,822.69","-191,850,136.17","-596,173,309.97","707,500,940.16",
sh.600210,紫江企业,1999-08-24,C29橡胶和塑料制品业,https://www.zijiangqy.com,"1,516,736,158","10,465,479,680",6.9,8.414635,1.5696088,19.47%,0.82,4.396,"2,036,165,244.6","1,897,865,191.58","3,711,899,648",24%,"844,941,456.09","1,487,978,878.53","343,441,794.96","988,840,390.26","-1,127,190,137.38","-389,434,321.12",1
